unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643178480,296.20,296.20,296.20,296.20,0.00,0.00000000,0,2022-01-26 06:28:00,0.0
1643178540,296.20,296.20,296.20,296.20,0.00,0.00000000,0,2022-01-26 06:29:00,0.0
1643178600,295.39,295.39,295.39,295.39,295.39,0.34200000,1,2022-01-26 06:30:00,101.02338
1643178660,295.88,295.88,295.88,295.88,295.88,0.01141117,1,2022-01-26 06:31:00,3.3763369796
1643178720,295.88,295.88,295.88,295.88,0.00,0.00000000,0,2022-01-26 06:32:00,0.0
1643178780,295.88,295.88,295.88,295.88,0.00,0.00000000,0,2022-01-26 06:33:00,0.0
1643178840,295.16,295.16,295.16,295.16,295.16,1.90101555,1,2022-01-26 06:34:00,561.103749738
1643178900,295.16,295.16,295.16,295.16,0.00,0.00000000,0,2022-01-26 06:35:00,0.0
1643178960,295.16,295.16,295.16,295.16,0.00,0.00000000,0,2022-01-26 06:36:00,0.0
1643179020,295.11,295.11,295.10,295.10,295.10,3.01300000,3,2022-01-26 06:37:00,889.1363
1643179080,294.91,294.91,294.84,294.84,294.88,1.02027745,4,2022-01-26 06:38:00,300.81860335799996
1643179140,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:39:00,0.0
1643179200,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:40:00,0.0
1643179260,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:41:00,0.0
1643179320,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:42:00,0.0
1643179380,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:43:00,0.0
1643179440,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:44:00,0.0
1643179500,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:45:00,0.0
1643179560,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:46:00,0.0
1643179620,294.84,294.84,294.84,294.84,0.00,0.00000000,0,2022-01-26 06:47:00,0.0
1643179680,294.26,294.26,294.25,294.25,294.25,4.18600000,2,2022-01-26 06:48:00,1231.7305
1643179740,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:49:00,0.0
1643179800,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:50:00,0.0
1643179860,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:51:00,0.0
1643179920,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:52:00,0.0
1643179980,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:53:00,0.0
1643180040,294.25,294.25,294.25,294.25,0.00,0.00000000,0,2022-01-26 06:54:00,0.0
1643180100,293.87,293.87,293.61,293.61,293.86,2.06801159,4,2022-01-26 06:55:00,607.1888829398999
1643180160,293.88,293.88,293.88,293.88,293.88,0.02345000,1,2022-01-26 06:56:00,6.891486
1643180220,293.88,293.88,293.88,293.88,0.00,0.00000000,0,2022-01-26 06:57:00,0.0
1643180280,293.88,293.88,293.88,293.88,0.00,0.00000000,0,2022-01-26 06:58:00,0.0
1643180340,293.88,293.88,293.88,293.88,0.00,0.00000000,0,2022-01-26 06:59:00,0.0
1643180400,293.88,293.88,293.88,293.88,0.00,0.00000000,0,2022-01-26 07:00:00,0.0
1643180460,293.88,293.88,293.88,293.88,0.00,0.00000000,0,2022-01-26 07:01:00,0.0
1643180520,293.98,293.98,293.97,293.97,293.97,2.89200000,3,2022-01-26 07:02:00,850.16124
1643180580,293.97,293.97,293.97,293.97,0.00,0.00000000,0,2022-01-26 07:03:00,0.0
1643180640,293.97,293.97,293.97,293.97,0.00,0.00000000,0,2022-01-26 07:04:00,0.0
1643180700,293.97,293.97,293.97,293.97,0.00,0.00000000,0,2022-01-26 07:05:00,0.0
1643180760,293.97,293.97,293.97,293.97,0.00,0.00000000,0,2022-01-26 07:06:00,0.0
1643180820,294.15,294.15,294.15,294.15,294.15,0.35808988,1,2022-01-26 07:07:00,105.332138202
1643180880,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:08:00,0.0
1643180940,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:09:00,0.0
1643181000,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:10:00,0.0
1643181060,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:11:00,0.0
1643181120,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:12:00,0.0
1643181180,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:13:00,0.0
1643181240,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:14:00,0.0
1643181300,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:15:00,0.0
1643181360,294.15,294.15,294.15,294.15,0.00,0.00000000,0,2022-01-26 07:16:00,0.0
1643181420,294.44,294.44,294.44,294.44,294.44,0.01145237,1,2022-01-26 07:17:00,3.3720358228
1643181480,294.55,294.66,294.55,294.66,294.64,0.15152324,2,2022-01-26 07:18:00,44.647837898400006
1643181540,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:19:00,0.0
1643181600,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:20:00,0.0
1643181660,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:21:00,0.0
1643181720,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:22:00,0.0
1643181780,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:23:00,0.0
1643181840,294.66,294.66,294.66,294.66,0.00,0.00000000,0,2022-01-26 07:24:00,0.0
1643181900,294.69,294.69,294.69,294.69,294.69,1.01643595,1,2022-01-26 07:25:00,299.5335101055
1643181960,294.69,294.69,294.69,294.69,0.00,0.00000000,0,2022-01-26 07:26:00,0.0
1643182020,294.77,294.77,294.77,294.77,294.77,0.85000000,1,2022-01-26 07:27:00,250.5545
1643182080,294.83,294.83,294.26,294.26,294.69,3.72579848,5,2022-01-26 07:28:00,1096.3534607248
1643182140,294.42,295.36,294.42,295.36,294.44,18.31651575,7,2022-01-26 07:29:00,5409.9660919200005
1643182200,295.19,295.19,295.19,295.19,295.19,0.47000000,1,2022-01-26 07:30:00,138.7393
1643182260,295.19,295.19,295.19,295.19,0.00,0.00000000,0,2022-01-26 07:31:00,0.0
1643182320,295.19,295.19,295.19,295.19,0.00,0.00000000,0,2022-01-26 07:32:00,0.0
1643182380,295.65,295.66,295.65,295.66,295.65,1.70000000,2,2022-01-26 07:33:00,502.622
1643182440,295.66,295.66,295.66,295.66,0.00,0.00000000,0,2022-01-26 07:34:00,0.0
1643182500,295.78,295.78,295.78,295.78,295.78,0.24718532,1,2022-01-26 07:35:00,73.11247394959999
1643182560,295.78,295.78,295.78,295.78,0.00,0.00000000,0,2022-01-26 07:36:00,0.0
1643182620,295.78,295.78,295.78,295.78,0.00,0.00000000,0,2022-01-26 07:37:00,0.0
1643182680,295.47,295.47,295.47,295.47,295.47,1.25000000,1,2022-01-26 07:38:00,369.33750000000003
1643182740,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:39:00,0.0
1643182800,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:40:00,0.0
1643182860,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:41:00,0.0
1643182920,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:42:00,0.0
1643182980,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:43:00,0.0
1643183040,295.47,295.47,295.47,295.47,0.00,0.00000000,0,2022-01-26 07:44:00,0.0
