unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643233740,36447.4,36458.6,36442.3,36442.4,36445.6,0.66322952,33,2022-01-26 21:49:00,24169.675459648002
1643233800,36442.3,36442.4,36381.7,36388.1,36412.5,7.82522619,71,2022-01-26 21:50:00,284745.113124339
1643233860,36389.1,36462.4,36389.1,36419.7,36428.0,1.76766358,45,2022-01-26 21:51:00,64377.777284526
1643233920,36431.5,36463.2,36431.5,36463.1,36444.9,3.67134023,31,2022-01-26 21:52:00,133868.445940513
1643233980,36463.1,36516.3,36433.7,36433.7,36498.4,55.17138779,138,2022-01-26 21:53:00,2010097.7913245228
1643234040,36422.7,36429.4,36351.1,36378.0,36380.7,12.04205802,125,2022-01-26 21:54:00,438065.98665156
1643234100,36388.1,36494.2,36388.1,36486.1,36469.3,4.89638455,32,2022-01-26 21:55:00,178649.97632975498
1643234160,36503.6,36524.1,36388.0,36388.0,36502.6,4.36691132,32,2022-01-26 21:56:00,158903.16911216
1643234220,36400.1,36457.6,36376.9,36386.2,36427.1,2.73013513,24,2022-01-26 21:57:00,99339.24286720599
1643234280,36392.5,36402.7,36377.0,36377.0,36393.9,1.07314713,15,2022-01-26 21:58:00,39037.873148009996
1643234340,36372.3,36435.6,36367.7,36367.8,36408.3,3.31544192,35,2022-01-26 21:59:00,120575.328658176
1643234400,36367.8,36367.8,36321.3,36344.1,36336.6,8.18835771,71,2022-01-26 22:00:00,297598.491448011
1643234460,36340.0,36484.1,36340.0,36355.5,36395.6,5.78671064,60,2022-01-26 22:01:00,210378.75867252
1643234520,36377.6,36445.5,36377.6,36426.1,36431.2,4.41511696,33,2022-01-26 22:02:00,160825.491896656
1643234580,36427.8,36469.8,36427.8,36455.2,36440.8,7.11961061,39,2022-01-26 22:03:00,259546.82870967197
1643234640,36457.8,36466.3,36446.4,36446.5,36457.2,2.04745951,16,2022-01-26 22:04:00,74622.733031215
1643234700,36446.5,36447.7,36251.2,36299.9,36284.1,24.99751484,187,2022-01-26 22:05:00,907407.2889405161
1643234760,36294.0,36359.2,36283.6,36314.3,36310.3,8.05529088,62,2022-01-26 22:06:00,292522.249603584
1643234820,36316.1,36355.6,36270.3,36326.5,36318.8,1.35929069,53,2022-01-26 22:07:00,49378.273250285
1643234880,36316.4,36396.5,36311.0,36381.7,36368.1,2.36006661,25,2022-01-26 22:08:00,85863.235385037
1643234940,36390.0,36391.7,36317.5,36327.9,36330.5,2.29512267,22,2022-01-26 22:09:00,83376.98684349301
1643235000,36332.7,36378.0,36309.8,36374.0,36342.7,5.82737774,45,2022-01-26 22:10:00,211965.03791476
1643235060,36375.5,36398.3,36356.3,36395.9,36377.0,5.38645372,42,2022-01-26 22:11:00,196044.83094774798
1643235120,36401.6,36401.6,36299.4,36354.1,36380.7,4.87764461,41,2022-01-26 22:12:00,177322.379916401
1643235180,36314.6,36352.6,36312.2,36312.2,36342.0,0.90217247,16,2022-01-26 22:13:00,32759.867165133997
1643235240,36321.9,36332.5,36307.5,36332.5,36317.6,0.02685429,7,2022-01-26 22:14:00,975.6834914249999
1643235300,36332.4,36372.8,36332.4,36332.6,36361.7,3.01624326,29,2022-01-26 22:15:00,109587.959868276
1643235360,36332.5,36372.4,36325.7,36372.4,36331.0,1.20116013,17,2022-01-26 22:16:00,43689.076712412
1643235420,36376.4,36404.0,36365.9,36404.0,36376.1,2.55860497,21,2022-01-26 22:17:00,93143.45532788
1643235480,36405.5,36405.6,36382.7,36395.0,36388.3,0.66746023,13,2022-01-26 22:18:00,24292.21507085
1643235540,36400.5,36446.0,36400.5,36417.1,36429.4,1.45322341,25,2022-01-26 22:19:00,52922.182244311
1643235600,36428.0,36439.6,36401.0,36416.4,36428.2,3.23574870,28,2022-01-26 22:20:00,117834.31895868
