unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643178300,37678.6,37678.6,37665.5,37671.7,37673.6,0.48885443,9,2022-01-26 06:25:00,18415.977430631
1643178360,37667.6,37667.6,37629.3,37629.3,37666.1,1.14892066,9,2022-01-26 06:26:00,43233.080191338
1643178420,37629.2,37629.2,37562.5,37580.1,37574.2,0.58883078,38,2022-01-26 06:27:00,22128.319595478
1643178480,37562.5,37562.5,37531.6,37531.6,37545.3,1.22013014,47,2022-01-26 06:28:00,45793.436362424
1643178540,37531.5,37531.5,37507.9,37507.9,37519.8,0.49298084,31,2022-01-26 06:29:00,18490.676048636
1643178600,37507.9,37507.9,37468.0,37468.0,37491.4,0.08524531,14,2022-01-26 06:30:00,3193.9712750800004
1643178660,37473.3,37523.7,37473.3,37500.1,37485.8,1.06250022,29,2022-01-26 06:31:00,39843.864500022
1643178720,37500.0,37500.1,37450.0,37450.1,37487.9,0.37304591,19,2022-01-26 06:32:00,13970.606634090998
1643178780,37450.0,37450.0,37431.3,37431.8,37441.1,2.57730994,27,2022-01-26 06:33:00,96473.35021209202
1643178840,37431.3,37431.3,37381.1,37415.4,37410.2,8.14314078,86,2022-01-26 06:34:00,304678.869540012
1643178900,37415.4,37415.4,37380.2,37380.2,37385.3,1.13805049,6,2022-01-26 06:35:00,42540.55492629799
1643178960,37410.7,37453.8,37410.7,37452.0,37428.9,0.44914051,17,2022-01-26 06:36:00,16821.21038052
1643179020,37465.9,37484.4,37422.2,37422.2,37462.7,1.47337010,32,2022-01-26 06:37:00,55136.750556219995
1643179080,37421.9,37431.2,37411.2,37420.5,37420.3,2.61478335,13,2022-01-26 06:38:00,97846.500348675
1643179140,37421.0,37421.0,37411.3,37411.3,37413.0,0.02120638,3,2022-01-26 06:39:00,793.358244094
1643179200,37411.4,37416.4,37411.3,37416.4,37415.1,0.45747818,13,2022-01-26 06:40:00,17117.186574152
1643179260,37416.0,37434.4,37415.1,37434.3,37417.2,0.56548592,9,2022-01-26 06:41:00,21168.569575056
1643179320,37443.0,37465.0,37443.0,37465.0,37452.0,1.21965649,13,2022-01-26 06:42:00,45694.43039785
