unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643176080,2494.46,2494.46,2494.46,2494.46,0.00,0.00000000,0,2022-01-26 05:48:00,0.0
1643176140,2492.64,2492.67,2488.74,2489.35,2489.67,5.56674978,13,2022-01-26 05:49:00,13857.588564843
1643176200,2489.76,2489.76,2489.76,2489.76,2489.76,0.08691090,1,2022-01-26 05:50:00,216.38728238400003
1643176260,2489.37,2489.37,2489.09,2489.09,2489.19,0.05628631,4,2022-01-26 05:51:00,140.1016913579
1643176320,2489.09,2489.09,2484.04,2484.04,2487.72,13.19872937,14,2022-01-26 05:52:00,32786.171704254804
1643176380,2482.50,2482.55,2480.96,2481.21,2482.10,3.03089088,9,2022-01-26 05:53:00,7520.2767603648
1643176440,2480.63,2480.63,2479.01,2479.01,2480.02,3.22081028,9,2022-01-26 05:54:00,7984.4208922228
1643176500,2479.86,2480.91,2475.73,2476.12,2478.29,1326.69015975,555,2022-01-26 05:55:00,3285044.03836017
1643176560,2476.12,2478.71,2476.06,2478.71,2477.09,466.59599683,396,2022-01-26 05:56:00,1156556.1633024893
1643176620,2478.69,2478.69,2477.39,2477.72,2477.82,1.97605844,7,2022-01-26 05:57:00,4896.119517956799
1643176680,2478.26,2478.48,2477.30,2477.77,2477.66,3.13519649,8,2022-01-26 05:58:00,7768.2958070273
1643176740,2477.77,2477.77,2477.29,2477.29,2477.36,3.73370741,5,2022-01-26 05:59:00,9249.4760297189
1643176800,2477.29,2478.91,2477.29,2478.60,2478.13,5.24188623,11,2022-01-26 06:00:00,12992.539209678
1643176860,2478.55,2478.91,2478.28,2478.91,2478.44,0.23589356,4,2022-01-26 06:01:00,584.7589048195999
1643176920,2478.91,2480.00,2478.91,2479.57,2479.46,1.87528451,8,2022-01-26 06:02:00,4649.8992124607
1643176980,2479.51,2479.51,2475.48,2475.48,2478.23,4.91081561,19,2022-01-26 06:03:00,12156.6258262428
1643177040,2475.89,2475.92,2475.50,2475.92,2475.87,1.75715638,6,2022-01-26 06:04:00,4350.5786243696
1643177100,2477.10,2479.74,2477.10,2478.48,2478.42,2.61326547,9,2022-01-26 06:05:00,6476.9262020856
1643177160,2477.69,2478.56,2474.95,2478.56,2476.92,1111.46420374,574,2022-01-26 06:06:00,2754830.716821814
1643177220,2478.56,2479.30,2477.38,2479.30,2478.43,16.38360209,25,2022-01-26 06:07:00,40619.864661737
1643177280,2479.84,2479.84,2479.84,2479.84,2479.84,0.05406850,1,2022-01-26 06:08:00,134.08122904
1643177340,2479.05,2479.05,2478.60,2478.60,2478.72,1.04340900,5,2022-01-26 06:09:00,2586.1935474
1643177400,2476.37,2476.70,2476.37,2476.70,2476.68,0.07533388,4,2022-01-26 06:10:00,186.579420596
1643177460,2478.52,2478.84,2477.40,2477.40,2477.87,0.61070815,3,2022-01-26 06:11:00,1512.9683708100001
1643177520,2478.21,2480.72,2478.21,2478.73,2479.98,4.85878613,6,2022-01-26 06:12:00,12043.618944014901
1643177580,2478.73,2478.73,2478.73,2478.73,2478.73,0.01698230,1,2022-01-26 06:13:00,42.094536479
1643177640,2478.72,2478.72,2475.15,2475.96,2475.29,22.91451035,8,2022-01-26 06:14:00,56735.411046186004
1643177700,2477.91,2477.91,2477.91,2477.91,2477.91,0.03766041,1,2022-01-26 06:15:00,93.31910654309999
1643177760,2478.72,2479.08,2478.72,2479.08,2478.82,0.16982232,2,2022-01-26 06:16:00,421.0031170656
1643177820,2479.32,2485.72,2479.32,2484.29,2482.08,130.13285700,87,2022-01-26 06:17:00,323287.75531653
1643177880,2484.23,2484.23,2482.26,2482.28,2482.50,0.76508045,5,2022-01-26 06:18:00,1899.1438994260002
1643177940,2481.08,2482.58,2481.08,2482.57,2482.51,1.92607087,3,2022-01-26 06:19:00,4781.6057597359
