date,fear-greed-ammount,trend
04-28-2021,59,Greed
04-27-2021,50,Neutral
04-26-2021,27,Fear
04-25-2021,31,Fear
04-24-2021,37,Fear
04-23-2021,55,Greed
04-22-2021,65,Greed
04-21-2021,73,Greed
04-20-2021,73,Greed
04-19-2021,74,Greed
04-18-2021,79,Extreme Greed
04-17-2021,76,Extreme Greed
04-16-2021,78,Extreme Greed
04-15-2021,79,Extreme Greed
04-14-2021,75,Greed
04-13-2021,74,Greed
04/12/2021,74,Greed
04/11/2021,76,Extreme Greed
04/10/2021,70,Greed
04/09/2021,70,Greed
04/08/2021,73,Greed
04/07/2021,72,Greed
04/06/2021,75,Greed
04/05/2021,71,Greed
04/04/2021,74,Greed
04/03/2021,73,Greed
04/02/2021,74,Greed
04/01/2021,74,Greed
03-31-2021,76,Extreme Greed
03-30-2021,72,Greed
03-29-2021,72,Greed
03-28-2021,74,Greed
03-27-2021,65,Greed
03-26-2021,54,Neutral
03-25-2021,60,Greed
03-24-2021,65,Greed
03-23-2021,66,Greed
03-22-2021,70,Greed
03-21-2021,73,Greed
03-20-2021,75,Greed
03-19-2021,71,Greed
03-18-2021,72,Greed
03-17-2021,71,Greed
03-16-2021,71,Greed
03-15-2021,76,Extreme Greed
03-14-2021,78,Extreme Greed
03-13-2021,74,Greed
03/12/2021,70,Greed
03/11/2021,73,Greed
03/10/2021,68,Greed
03/09/2021,81,Extreme Greed
03/08/2021,81,Extreme Greed
03/07/2021,76,Extreme Greed
03/06/2021,77,Extreme Greed
03/05/2021,77,Extreme Greed
03/04/2021,84,Extreme Greed
03/03/2021,78,Extreme Greed
03/02/2021,78,Extreme Greed
03/01/2021,38,Fear
02-28-2021,55,Greed
02-27-2021,56,Greed
02-26-2021,55,Greed
02-25-2021,79,Extreme Greed
02-24-2021,76,Extreme Greed
02-23-2021,94,Extreme Greed
02-22-2021,94,Extreme Greed
02-21-2021,91,Extreme Greed
02-20-2021,91,Extreme Greed
02-19-2021,93,Extreme Greed
02-18-2021,91,Extreme Greed
02-17-2021,95,Extreme Greed
02-16-2021,95,Extreme Greed
02-15-2021,93,Extreme Greed
02-14-2021,95,Extreme Greed
02-13-2021,92,Extreme Greed
02/12/2021,92,Extreme Greed
02/11/2021,93,Extreme Greed
02/10/2021,92,Extreme Greed
02/09/2021,95,Extreme Greed
02/08/2021,83,Extreme Greed
02/07/2021,86,Extreme Greed
02/06/2021,84,Extreme Greed
02/05/2021,81,Extreme Greed
02/04/2021,80,Extreme Greed
02/03/2021,78,Extreme Greed
02/02/2021,76,Extreme Greed
02/01/2021,77,Extreme Greed
01-31-2021,78,Extreme Greed
01-30-2021,76,Extreme Greed
01-29-2021,77,Extreme Greed
01-28-2021,55,Greed
01-27-2021,78,Extreme Greed
01-26-2021,71,Greed
01-25-2021,74,Greed
01-24-2021,70,Greed
01-23-2021,74,Greed
01-22-2021,40,Fear
